0,WHAT * JAUNDICE *,*,*,Jaundice is when your skin and the whites of your eyes turn yellow.It's harmless in newborns,motherwhat.aiml
0,WHAT * DO * BABY * CRYING*,*,*,Make sure its not hungry#Comma sick and the diapers are changed.,motherwhat.aiml
0,HOW OFTEN SHOULD * FEED * BABY *,*,*,<srai>* times * feed * baby *,motherwhat.aiml
0,* TIMES * FEED * BABY *,*,*,Babies need to eat a minimum of 8 to 12 (or more) times in 24 hours.,motherwhat.aiml
0,WHAT * MILK EXPRESSION *,*,*,Expressing milk means squeezing milk out of your breast so you can store it and feed it to your baby later.,motherwhat.aiml
0,HOW * EXPRESS *MILK,*,*,You can express milk by hand or with a breast pump,motherwhat.aiml
0,HOW* STORE* BREAST MILK*,*,*,You can store breast milk in a sterilised container or in special breast milk storage bags in a fridge,motherwhat.aiml
0,HOW LONG *BREAST FEED* SESSION LAST*,*,*,All that depends on your baby's needs.Some babies want frequent short feeds#Comma and others prefer feeding for longer  or a mixture of the two.,motherwhat.aiml
0,HOW LONG SHOULD I BREASTFEED *,*,*,Exclusive breastfeeding (breast milk only) is recommended for around the first six months of your baby's life,motherwhat.aiml
0,CAN * BREASTFEED AFTER * CAESAREAN,*,*,Yes you can,motherwhat.aiml
0,WHAT * IMPORTANCE * BREASTFEEDING*,*,*,Breast milk has very important nutrients necessary for child development,motherwhat.aiml
0,WHEN* STOP * BREASTFEEDING*,*,*,It is adviced to breastfeed for six months and then can stop anytime after the six months.,motherwhat.aiml
0,* STOP * BREASTFEEDING *,*,*,<srai>When* stop * breastfeeding*</srai>,motherwhat.aiml
0,HOW * KNOW * BABY * HUNGRY,*,*,"They may get restless,suck their fist or fingers#Commamake murmuring sounds#Comma turn their head and open their mouth (rooting)",motherwhat.aiml
0,WHAT* DO * BREAST* LEAK*,*,*,Press the heel of your hand gently but firmly on your breast when this happens.Wearing breast pads will stop your clothes becoming wet with breast milk,motherwhat.aiml
0,HOW DO I STOP BREASTFEEDING,*,*,There's no right or wrong way to stop breastfeeding.It could happen gradually as you start introducing solid food.,motherwhat.aiml
0,HOW * KNOW * BABY *FULL,*,*,You may notice that Sucking slows down or stops#Comma you no longer hear swallowing#Comma baby’s arms and hands relax.,motherwhat.aiml
0,HOW * INCREASE * MILK * ,*,*,You need to breast feed frequently#Comma bond with the baby skin to skin#Comma avoid taking harmful substances and feed well.,motherwhat.aiml
